Living cells,Dead cells
99.95915124,99.95519605
99.95939415,99.95435113
99.95890687,99.95449304
99.95849633,99.9547051
99.95828953,99.95540482
99.95955529,99.95484591
99.95878413,99.95491616
99.95820652,99.95442214
99.95828953,99.95519605
99.95878413,99.95456384
99.95845505,99.95420876
99.95820652,99.95533534
99.95857876,99.95505632
99.95841373,99.95442214
99.95874314,99.95512624
99.95837237,99.9554742
99.95849633,99.95477556
99.95841373,99.95449304
99.95833097,99.95477556
99.95824804,99.95568168
99.95870211,99.9549863
99.95878413,99.95463452
99.95837237,99.95588819
99.95874314,99.95561263
99.95849633,99.95442214
99.95878413,99.95449304
99.95824804,99.95561263
99.95849633,99.95435113
99.96027255,99.95484591
99.95837237,99.95519605
99.95959548,99.95743982
99.9594748,99.95533534
99.95841373,99.9554742
