NAME;RS;MS;FS
Klebsiella pneumoniae;27;27;20
Cronobacter malonaticus;27;27;20
Frankia symbiont;27;27;20
Sclerotinia sclerotiorum;27;27;20
Cladophialophora carrionii;27;27;20
Fusarium fujikuroi;27;27;20
Fusarium graminearum;27;27;20
Aspergillus carbonarius;27;27;20
Botrytis cinerea;27;27;20
Cryptococcus neoformans;26;27;20
Naganishia albida;25;27;20
Talaromyces marneffei;15;27;20
Fusarium verticillioides;27;25;20
Limosilactobacillus reuteri;7;7;20
Lactobacillus delbrueckii;27;0;20
Trichoderma reesei;26;27;19
Candida tropicalis;26;27;19
Weissella confusa;27;25;19
Saccharomyces cerevisiae;27;27;18
Puccinia triticina;5;27;17
Tremella mesenterica;6;8;17
Lactobacillus helveticus;27;27;16
Limosilactobacillus panis;27;27;16
Limosilactobacillus frumenti;22;27;16
Limosilactobacillus secaliphilus;21;13;16
Lactococcus lactis;0;13;16
Leuconostoc citreum;2;11;15
Pseudomonas sp.;0;0;13
Candida albicans;0;24;12
Limosilactobacillus pontis;27;21;12
Limosilactobacillus fermentum;27;0;12
Kosakonia cowanii;6;0;12
Lactobacillus amylolyticus;25;27;11
Lactobacillus amylovorus;0;27;11
Pneumocystis jirovecii;9;25;11
Candida parapsilosis;0;24;11
Pantoea agglomerans;6;0;11
Pantoea vagans;6;0;11
Lactobacillus sp.;10;27;10
Lactiplantibacillus plantarum;24;6;10
Limosilactobacillus timonensis;23;11;9
Leuconostoc garlicum;0;11;9
Clavispora lusitaniae;0;4;9
Lentilactobacillus parabuchneri;26;0;9
Paenarthrobacter nicotinovorans;0;0;9
Fusarium oxysporum;16;27;8
Lactobacillus jensenii;26;16;8
Acetobacter oryzifermentans;23;26;6
Aspergillus ochraceoroseus;1;4;6
Paracoccidioides lutzii;1;1;6
Weissella kandleri;24;0;6
Lactobacillus crispatus;6;0;6
Sordaria macrospora;3;24;5
Limosilactobacillus coleohominis;23;6;5
Furfurilactobacillus rossiae;18;0;5
Pseudomonas rhizosphaerae;0;0;5
Companilactobacillus allii;0;8;4
Candidatus Pelagibacter;1;6;4
Lacticaseibacillus paracasei;16;4;4
Mucor circinelloides;0;1;4
Ralstonia pickettii;0;2;3
Limosilactobacillus vaginalis;0;0;3
Aspergillus campestris;1;27;2
Acetobacter okinawensis;0;15;2
Companilactobacillus paralimentarius;8;8;2
Candida glabrata;0;6;2
Malassezia globosa;0;4;2
Companilactobacillus kimchiensis;0;3;2
Sporothrix schenckii;0;1;2
Schleiferilactobacillus harbinensis;11;0;2
Weissella cibaria;4;0;2
Pseudomonas fragi;0;0;2
Zymoseptoria tritici;0;0;2
Aspergillus fumigatus;0;12;1
Lactobacillus gallinarum;9;3;1
Vibrio parahaemolyticus;0;3;1
Lomentospora prolificans;0;3;1
Lactococcus raffinolactis;0;2;1
Neurospora crassa;0;2;1
Aspergillus novofumigatus;0;1;1
Lentilactobacillus hilgardii;6;0;1
Lactobacillus hominis;0;19;0
Escherichia coli;6;18;0
Lactobacillus kefiranofaciens;0;10;0
Acetobacter orientalis;0;8;0
Acetobacter syzygii;0;7;0
Pectobacterium carotovorum;0;6;0
Cronobacter sakazakii;0;4;0
Histoplasma capsulatum;0;4;0
Cronobacter dublinensis;1;3;0
Neurospora discreta;0;3;0
Companilactobacillus metriopterae;0;2;0
Coccidioides posadasii;0;2;0
Lactobacillus psittaci;1;1;0
Bacillus subtilis;3;0;0
Virgibacillus profundi;2;0;0
Lacticaseibacillus rhamnosus;2;0;0
Lentilactobacillus parafarraginis;2;0;0
Weissella hellenica;2;0;0
