NAME;RS;MS;FS
1;27;27;20
2;27;27;20
3;27;27;20
4;27;27;20
5;27;27;20
6;27;27;20
7;27;27;20
8;27;27;20
9;27;27;20
10;26;27;20
11;25;27;20
12;15;27;20
13;27;25;20
14;7;7;20
15;27;0;20
16;26;27;19
17;26;27;19
18;27;25;19
19;27;27;18
20;5;27;17
21;6;8;17
22;27;27;16
23;27;27;16
24;22;27;16
25;21;13;16
26;0;13;16
27;2;11;15
28;0;0;13
29;0;24;12
30;27;21;12
31;27;0;12
32;6;0;12
33;25;27;11
34;0;27;11
35;9;25;11
36;0;24;11
37;6;0;11
38;6;0;11
39;10;27;10
40;24;6;10
41;23;11;9
42;0;11;9
43;0;4;9
44;26;0;9
45;0;0;9
46;16;27;8
47;26;16;8
48;23;26;6
49;1;4;6
50;1;1;6
51;24;0;6
52;6;0;6
53;3;24;5
54;23;6;5
55;18;0;5
56;0;0;5
57;0;8;4
58;1;6;4
59;16;4;4
60;0;1;4
61;0;2;3
62;0;0;3
63;1;27;2
64;0;15;2
65;8;8;2
66;0;6;2
67;0;4;2
68;0;3;2
69;0;1;2
70;11;0;2
71;4;0;2
72;0;0;2
73;0;0;2
74;0;12;1
75;9;3;1
76;0;3;1
77;0;3;1
78;0;2;1
79;0;2;1
80;0;1;1
81;6;0;1
82;0;19;0
83;6;18;0
84;0;10;0
85;0;8;0
86;0;7;0
87;0;6;0
88;0;4;0
89;0;4;0
90;1;3;0
91;0;3;0
92;0;2;0
93;0;2;0
94;1;1;0
95;3;0;0
96;2;0;0
97;2;0;0
98;2;0;0
99;2;0;0
